Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+,bin_name,bin_num
8,304.0,193,70,1,4732,18.5,10,8,8
8,360.0,215,70,1,4615,14.0,10,8,8
8,307.0,200,70,1,4376,15.0,10,8,8
8,318.0,210,70,1,4382,13.5,10,8,8
8,429.0,208,72,1,4633,11.0,10,8,8
8,400.0,150,73,1,4997,14.0,10,8,8
8,350.0,180,73,1,3664,11.0,10,8,8
8,383.0,180,71,1,4955,11.5,10,8,8
8,350.0,160,72,1,4456,13.5,10,8,8
8,429.0,198,73,1,4952,11.5,10,8,8
8,455.0,225,73,1,4951,11.0,10,8,8
8,400.0,167,73,1,4906,12.5,10,8,8
8,350.0,180,73,1,4499,12.5,10,8,8
8,400.0,170,71,1,4746,12.0,10,8,8
8,400.0,175,71,1,5140,12.0,10,8,8
8,350.0,165,72,1,4274,12.0,10,8,8
8,350.0,155,72,1,4502,13.5,10,8,8
8,400.0,190,72,1,4422,12.5,10,8,8
8,307.0,130,72,1,4098,14.0,10,8,8
8,302.0,140,72,1,4294,16.0,10,8,8
8,350.0,175,73,1,4100,13.0,10,8,8
8,350.0,145,73,1,3988,13.0,10,8,8
8,400.0,150,73,1,4464,12.0,10,8,8
8,351.0,158,73,1,4363,13.0,10,8,8
8,440.0,215,73,1,4735,11.0,10,8,8
8,360.0,175,73,1,3821,11.0,10,8,8
8,360.0,170,73,1,4654,13.0,10,8,8
8,350.0,150,74,1,4699,14.5,10,8,8
8,302.0,129,75,1,3169,12.0,10,8,7
8,318.0,150,76,1,3940,13.2,10,8,7
8,350.0,145,76,1,4055,12.0,10,8,8
8,302.0,130,76,1,3870,15.0,10,8,7
8,318.0,150,76,1,3755,14.0,10,8,7
8,454.0,220,70,1,4354,9.0,10,8,8
8,440.0,215,70,1,4312,8.5,10,8,8
8,455.0,225,70,1,4425,10.0,10,8,8
8,340.0,160,70,1,3609,8.0,10,8,8
8,455.0,225,70,1,3086,10.0,10,8,8
8,350.0,165,71,1,4209,12.0,10,8,8
8,400.0,175,71,1,4464,11.5,10,8,8
8,351.0,153,71,1,4154,13.5,10,8,8
8,318.0,150,71,1,4096,13.0,10,8,8
8,400.0,175,72,1,4385,12.0,10,8,8
8,351.0,153,72,1,4129,13.0,10,8,8
8,318.0,150,72,1,4077,14.0,10,8,8
8,304.0,150,73,1,3672,11.5,10,8,8
8,302.0,137,73,1,4042,14.5,10,8,8
8,318.0,150,73,1,4237,14.5,10,8,8
8,318.0,150,74,1,4457,13.5,10,8,8
8,302.0,140,74,1,4638,16.0,10,8,7
8,304.0,150,74,1,4257,15.5,10,8,8
8,351.0,148,75,1,4657,13.5,10,8,8
