Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
4,103.5,90,70,1,2431,14.5,20
4,86.6,64,81,1,1871,13.2,40
6,236.1,107,71,1,4003,20.9,20
8,281.4,129,79,1,3723,12.8,20
4,133.9,90,80,3,2757,15.1,30
8,346.4,75,76,1,4155,12.9,10
4,97.0,78,79,2,1921,15.9,30
4,109.4,75,78,3,2339,14.8,30
4,116.7,110,81,2,2212,14.7,30
6,233.3,110,79,1,3244,15.4,20
6,235.1,100,78,1,3236,17.6,20
4,140.5,92,82,1,2433,18.6,20
4,120.9,79,82,1,2681,18.3,30
6,254.7,120,78,1,3281,15.4,20
4,167.6,105,82,1,2955,15.9,20
8,310.2,49,70,1,3553,13.6,20
4,90.6,67,82,3,1959,15.8,30
8,302.8,145,79,1,3482,13.1,20
6,233.8,90,80,1,3454,17.2,20
3,80.5,110,77,3,2787,13.0,20
6,226.5,100,71,1,3204,15.0,20
4,86.5,76,71,2,2075,14.7,30
4,142.1,72,76,1,2553,13.6,30
4,135.0,84,82,1,2352,11.7,30
4,122.5,90,79,1,2902,17.6,10
8,367.1,85,79,1,4076,14.0,20
4,116.1,175,81,2,2304,14.2,30
4,119.1,82,82,1,2723,19.4,30
4,89.6,54,72,2,2319,24.2,20
6,268.3,90,73,1,3276,18.4,20
6,232.8,85,81,1,3514,15.8,20
4,130.9,95,78,2,2587,15.1,30
4,103.6,75,80,3,2327,15.9,40
6,244.5,90,75,3,3212,17.2,20
6,169.8,115,79,1,2680,12.9,30
4,140.9,84,82,1,2508,16.2,20
4,99.7,75,82,3,2100,15.2,30
4,85.0,65,79,3,1987,15.0,30
4,135.5,95,78,3,2392,14.6,20
6,171.9,97,79,1,2599,11.2,20
6,257.9,110,78,1,3627,18.0,20
4,89.2,48,80,2,2340,23.8,40
6,230.7,90,80,1,3193,18.5,20
8,318.0,145,77,1,4131,13.7,20
8,319.4,150,73,1,3670,11.9,10
6,156.0,108,76,3,2956,15.7,20
8,382.8,167,73,1,4842,12.1,10
6,242.8,100,71,1,3275,15.5,20
