Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
4.0,85.5,61.5,81.5,3,1910.0,19,40.0
4,81,78.5,81.0,3,2062.5,15.0,40
4.0,77.0,60.5,80.5,3.0,1781.0,16.5,35.0
3.0,62.0,45.5,82.0,3,1735.0,19.0,45.0
4,85.0,66.0,81.5,3,1850,13,40.0
4.0,85.5,60,80.5,3,1790.5,18,35.0
4.0,75.0,50.0,81.0,3.0,2019,18.0,40.0
4.0,101.0,83.5,79.0,3.0,2276.0,15.0,45.0
4,99.0,65,80.0,3,2110,18.0,40
3,70.0,100.0,80.5,3.0,2420,12,25.0
3.0,55.5,51.5,79,3,1602.5,17.0,40.0
4.0,84.5,62.0,79,3.0,2135.0,19,25.0
6.0,144.0,94.5,77.0,3.0,2707.5,12.5,20.0
5.0,169.0,95,76.5,3,2992.5,14.0,15.0
4.0,131.0,91.5,78.5,3.0,2382.5,12.5,30.0
4.0,124.5,102.0,76.5,3.0,2405,14.5,10.0
4,119,112.0,77.0,3.0,2570.5,13.0,25.0
4.0,98,52.0,78,3.0,1987.5,18.5,40.0
4.0,91,60,78,3.0,2022.5,14.0,30.0
4.0,99.0,85.0,77.0,3.0,2295.0,18.5,35.0
4.0,78,52,77.5,3.0,1917.5,19,20.0
6.0,151.5,104.0,77.0,3.0,2846.5,16.0,20
4,60.5,44.0,77,3.0,1460.0,18.5,40.0
4.0,69.5,56.5,77,3.0,1885.0,19.0,30
4.0,107.5,67,76.5,3.0,2300.0,17.5,25.0
4.0,73.5,59.0,79.0,3.0,1945,17.0,35.0
3.5,93.5,105.5,77.5,3.0,2720,16.0,20.0
4.0,97.0,75,77.0,3.0,2155,16,30.0
4,91,53,75.5,3.0,1789.0,17.5,25.0
4.0,79.0,68.5,75.5,3.0,1935.0,17.5,30.0
4.0,128.5,96,76.5,3.0,2590.0,13,25.0
4.0,101.5,83.5,77.0,3.0,2287.0,18.5,25.0
4.0,100.5,76.0,76.0,3.0,2171,16.0,30
4.0,115.5,66.0,74.5,3.0,2151.0,15.0,25.0
5.5,142.5,124.5,73.0,3.0,2807,11.0,15.0
4.5,128.5,79.5,73.5,3.0,2489,16.5,25.0
4.0,86.0,70.5,74.0,3.0,1971.0,15.5,35.0
4.5,91.5,50.0,71.5,3.0,1693.0,20.5,35.0
4.5,79,60.5,73.0,3.0,1862.5,21.0,30.0
4,51.0,52.0,73.0,3.0,1569.5,15.0,30.0
4.0,71.0,65,74,3.0,1836,19.5,35.0
4,137.5,111.0,73,3.0,2732.5,14.5,15.0
4.0,107.5,106.0,72.0,3,2504.5,19.0,20
3.0,90.5,105.0,73.0,3.0,2393.5,11.0,15.0
4.0,113.0,97.5,72,3.0,2399.5,14,20.0
4.5,113.5,95,72.5,3.0,2278,19.0,25.0
4.0,100.0,95.0,72.5,3.0,2195.0,16,30.0
4.0,78.5,88.0,71.0,3.0,2076.5,17,30.0
3,99.5,114.0,72.5,3.0,2683.5,11.5,20
4,107,68.5,80,3.0,1955.0,15.5,35.0
4.0,118.5,75,80.5,4.0,2430.0,14.0,30.0
4,89.5,62.0,81,3.0,2077.5,17.5,40
4,91,90.5,81.0,3.0,2275.0,14.5,25.0
4,124.5,84.0,81.5,3.0,2372.5,17,25.0
4.0,125.5,92.0,79.5,3,2600.0,16.5,40.0
4.0,112.0,75,80.0,3,2452.0,19.0,30.0
4.0,104.0,75.5,81.5,3.0,2190.0,14.5,35.0
4.0,114.0,83.5,80.5,3.0,2462.0,16.5,35.0
4.0,82.5,66.5,82.0,3.0,1830.0,16.5,35.0
5.0,91,85.0,81.0,3.0,2087.5,14.0,30.0
4.0,105.5,78.5,82.0,3,2107.5,17.0,40.0
4.0,83.0,63.5,82.0,3.0,1965,16.5,35.0
4.0,117.5,81.0,82.0,3.0,1995,16,40.0
4.0,139.5,105.0,79.5,3.0,2711,14.0,30.0
4,133.5,110.5,81.0,3.0,2697.5,13.0,30.0
4.0,105.5,74,81.0,3.0,2537.5,18.5,25.0
4,90.0,70.0,82.0,2.0,1825.0,14,45.0
4.0,102.0,63.5,81.5,3.0,2245,17.0,25.0
4,128.5,91.5,81.0,3,2307.5,13.0,40.0
6.0,138.0,120,81.5,3.0,2777.5,12.5,20.0
6.0,168.0,125.0,80,3.0,3147.5,13.0,25.0
5.0,144,108.0,82.5,3.0,2898.0,11.5,25.0
6.0,165.5,114.5,80.5,3,2840.0,12.0,30.0
4.0,64.5,53.0,82.0,1.0,1504.5,17.0,40.0
4,84.0,66.0,81.0,1.0,2305.0,21.5,30.0
4.0,98.0,65.0,81.0,1,2045,16.5,30.0
4.0,105,63,80.5,1.0,1930.0,14,30.0
4.0,106.0,73.0,82.5,1.0,2355.0,17,40.0
4,119.0,63,82,1.0,2270.0,14,40
4.0,116.0,83.5,82.0,1.0,2755.0,18.0,30.0
4.0,91.0,74.5,81.5,1.0,2195.0,19.0,35.0
4,93.5,75.5,82.0,1.0,2575,16,30
4.0,120.0,89.0,82.0,1.0,2395,14.0,30.0
4.0,123.5,86.0,81.0,1.0,2425.0,16.0,30.0
4.0,124.0,77.0,80.5,1.0,2095.0,11.0,30.0
4,130.5,80.0,81.5,1.0,2720,16.0,30.0
4,117.5,75.0,81.5,1.0,2650.0,19.0,30.0
4.0,177.5,51.5,81.5,1,2962.5,16.0,25.0
4.0,156,92.5,81.0,1.0,2620,16.5,30.0
3.0,120.0,74.0,82.0,1.0,2527.5,16.5,30
4.0,131.5,84,81.5,1,2115.0,10.0,30.0
4.0,146.0,91.0,82.5,1.0,2660.0,14.0,40.0
4.0,140.0,95.0,82.5,1,2865,16,20.0
4.0,140,86,81.5,1.0,2790,14.0,30.0
4.0,140.5,-4.0,82,1.0,2987.5,21.0,20.0
4.0,143.0,87.0,82.0,1,2407.5,15.0,30.0
4,151,90.0,82.0,1.0,2950,16.5,30.0
4.0,156,92,82.0,1.0,2585,14,30.0
6,181,114.5,82.0,1.0,3195.0,16.5,30
3.5,54.0,93.5,66.0,3,1430.0,11.0,30.0
4.0,85.0,59.5,70.5,3.0,1694.5,11.5,25.0
4,67.0,54.5,77.0,2.5,1577.0,19.0,40.0
4.0,37.0,61.5,66.0,3.5,884.5,17.5,40
4,96.5,77.5,71.0,3.0,2355.0,16.0,30.0
4.5,154.5,95,70.0,3.0,2833.0,16.5,30.0
4.0,93.0,81.5,74.0,2.5,1944.0,14.0,30.0
4,113.5,107.0,79.0,2,2130,16.0,40
4.0,141,33.0,79,2.0,3035.5,25.5,30.0
5,210.0,77,80.0,2.0,4045.0,22.5,30
4.0,85.5,0,80,2.0,2040.0,21.5,40
4,93.0,72.5,80,2.5,1845,15,20.0
4.5,90,42.5,79.5,2.0,2850.0,23,35.0
4.0,90.0,53.0,75.0,2.5,2056.0,20.5,40.0
3.5,97,72.0,76.0,2.5,2188,14.5,30.0
4,102.0,76,85.0,1.5,2144,16.0,50.0
5.0,141.5,80.0,79.5,2.0,3329.5,17.5,40
4.0,122,123.5,79.5,2.0,2545.0,15,40
4.0,133.5,67,74.5,2,2991.5,18.0,30.0
4.5,147.0,3.0,81.0,2.0,3122.5,18.0,30.0
4.0,105,85.5,80.5,2.0,2368.5,11.5,30
4.0,161.5,93.0,80.5,2.0,3609.5,18.5,20.0
6.0,159.0,68.5,86.5,2,3589.0,19,30
4.0,94.5,15.0,81.5,2.0,2300.0,24.0,35.0
4.0,105,37.0,82.0,2.0,2045.0,15.5,40.0
4.0,79.5,53.5,76.0,1.0,1967.5,21.0,35.0
4.0,119.0,65.5,78.5,1.0,2448.5,18.5,30.0
4.0,98.0,83.0,77,1.0,2014.0,13.5,30.0
4.0,101.5,120.0,77,1.0,2037.5,14,35.0
4.0,107.5,92.0,76.5,1,2017.5,14.5,30.0
4.0,161.0,89,77.5,1,3300.0,16.5,30
4.0,98.0,68,78.5,1.0,2140.0,15.5,30
4.0,91.5,61.0,78,1.0,1800,14.5,40.0
4.0,99.5,74.0,77.5,1.0,2173.5,12.5,30.0
4.0,161.0,53.0,78.0,1.0,3112.5,14.5,25.0
4,151.0,85.0,78.0,1.0,3017.5,19.0,15.0
4.0,182.5,107.5,77.5,1.0,3215.0,17.5,10.0
4.0,121.0,87.5,79.5,1.0,2135.0,15.0,40.0
4.0,105,74.0,79.5,1.0,2300.0,13,30.0
4.0,105,70,80.0,1.0,2242.5,14,30
4.0,129.5,90.5,78.5,1.0,2670,15,30.0
4,140,94.5,78.0,1,2852.5,17,20
4.0,124.5,80.5,79.0,1.0,2142.5,16,40.0
4.0,139.5,90,79,1.0,2258.5,13.0,30.0
4,83.5,70,78.5,1.0,1768.5,12.5,35.0
4.0,143.5,1.0,80.5,1.0,2902.5,13.0,20.0
4.0,140,88,79.5,1.0,2805.0,19.0,30.0
4.0,151,98.5,80.0,1.0,3353.0,20.5,15.0
4.0,147.5,89.0,79.5,1.0,2678,16,30.0
4.0,156,108.5,81.5,1,2800,13.0,30.0
6.0,183.0,149.0,78,2,4016.5,15.5,20
6.0,163,125,78,2.0,2927.5,13.5,20.0
5.0,131.0,111.5,79.5,2.0,2755.0,15.5,20.0
6.0,168,109.0,76,2.0,3844.0,19.5,25.0
3.0,121,115,77.5,2.0,2795,14.0,20
4.5,90,42.0,79.5,2.0,1985,22.0,35.0
4.0,101.5,94.5,76.5,2.0,1990,11.0,30
4.0,121,76.5,78.5,2.0,2257.0,12,25.0
4.0,97.0,77.5,77,2.0,1797.0,13.0,30.0
5.0,123.0,97.5,77,2.0,2990.0,14.0,25.0
4.5,91.0,66.5,78.0,2.0,1825,18,35.0
5.0,130,102,76.0,2,3959.0,15.5,20
4.0,120,89.5,76.0,2.0,3401.0,21,20
4.0,100.5,72.5,77.5,2.0,1736.5,16,35.0
4.0,107,72.5,76.5,2.0,2763.5,19.0,25.0
4,103.5,80.5,75.0,2.0,2202,15,30.0
4.0,106.0,71,75.0,2,2062.0,12.5,30.0
5.0,111.0,70,76,2,2169.5,14.5,30
3.0,88.0,70.5,74.5,2.0,2945,13.5,25.0
3.5,121,118.5,74.5,2.0,2556.0,13,30.0
4.0,132.0,88,74.0,2,3322.5,17,20.0
3.5,110.0,92.5,73.5,2,2751.5,14.5,20.0
4.0,105.5,79.5,73.5,2.0,2706.5,17.5,25.0
4.0,69.5,70,76.0,2.0,1371.0,14.5,30
4.0,128.0,91.0,74.0,2.0,2246,13.0,25.0
4.0,107.5,97.5,75.5,2.0,2380.5,13.5,25.0
4.0,85.0,63.0,73.0,2.0,1962.0,15.0,35.0
4,90,87.0,74,2.0,2170.0,14.0,20.0
4.0,79,69.5,75.0,2.0,1963,13.0,25.0
4,79.5,59.5,74.0,2.0,2032.5,18.5,25.0
4,121,120.0,73.5,2.0,3206.5,15,15.0
4.0,129.5,118.5,74.0,2.0,2939.0,12.5,20
