Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
4,75.0,64.5,72.0,1.0,1904.5,19.0,35.0
4.0,119.5,0,70.5,1.0,2187.0,20.0,30
4.0,106.5,86,70.0,1.0,2042.5,15.0,25.0
4.0,140.0,72,71,1.0,2450.5,18.0,20.0
4,97,80,71.5,1.0,2123.0,16.0,30.0
4.0,107.0,80,72.5,1.0,2167.0,16.5,30.0
4.0,131.0,86,72,1.0,2229.0,16,20.0
4.0,131.0,88.0,72.5,1.0,2489.0,18.5,20.0
4.0,152.5,93.0,71.5,1.0,2455.0,17.5,20
4,110.0,82.0,73.5,1.0,2282.0,18.5,25.0
4.0,152.0,115.0,73.0,1,2488.0,16.5,15.0
4.0,89.5,115.0,74.5,1.0,2165.0,13.0,30.0
4.0,94.5,67.0,74.5,1,2451,16,35.0
4.0,119.0,69.0,74,1.0,2542,21.5,30
4.0,152.0,83,74.0,1.0,2782.5,14.0,20
4.0,152.0,78.5,74.0,1.0,2690.0,17.5,20.0
4,106.0,63.5,75.5,1.0,2272.5,19.5,30.0
4.0,77.0,60,77.0,1.0,2020.5,22.0,20.0
4,89.0,73.0,75.0,1.0,2194.5,17,30.0
4.0,133.5,93.5,76,1,2532.0,14.5,30.0
4.0,131.0,70.5,75.5,1.0,2471.0,13,35.0
4.0,98.0,53.0,77.0,1,2051,16.5,30.0
4.0,83.5,87.0,77.5,1.0,1870.0,15.5,30.0
4.0,111.0,74.5,77.5,1.0,2118.0,12.0,35.0
4,98.0,70.0,82.0,1.0,2230.0,17,40.0
4.0,105.0,63,82.0,1.0,2002.5,14.0,40.0
4.0,108.5,75.5,82,1.0,2550.0,18,30.0
4.0,112.0,88,82.5,1.0,2567.5,19.5,30.0
4.0,119.0,85,82.5,1.0,2827.5,16,30.0
4.0,108.5,77.0,82.0,1.0,2170.0,17.0,35.0
4.0,112.0,70.5,81.5,1,2590.0,19,30.0
4.0,79.0,56.5,80.0,1,1647.5,15.5,40.0
4,91.0,65,81,1.0,2380,18.5,30.0
4,94.5,65,81.0,1.0,2005.0,15.5,30.0
4.0,105,55.5,81.0,1.0,2215,14.5,35.0
4,101.5,82.5,80,1.0,2210.0,17.0,30
4.0,151.0,87.5,77,1.0,2722.5,16.0,20.0
4.0,149.0,89,77,1.0,2965.0,15.0,30
4.0,122,98.0,76.5,1.0,2250.0,15,35.0
4.0,160.0,81.0,78.5,1.0,3065.0,17,20.0
4.0,140,88.5,78.0,1.0,2727.5,15,35.0
4,110.5,75.0,77.5,1,2240.0,14.5,30
4.0,101.5,70.0,78.5,1.0,2355.0,15.5,25.0
