Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
4.0,105.0,58.0,82.5,2,2302.5,23.5,40.0
4.0,105,74,82.5,2,1950.0,20.0,40
4.0,106.0,26.0,81,2.0,2467.5,18.5,30
4.0,111.0,74,82.0,2,2337.5,17.5,30.0
4.0,85,31.0,79.5,2.0,1597.5,17.0,40.0
4.0,89,51.0,80,2.0,1815.0,15,35.0
4,90,46.0,79.5,2.0,1792.0,20.0,45.0
4.0,112.0,49.0,80,2,2085,23.5,40.0
4.0,81.0,58.0,80,2.0,2188,18.0,30.0
4.0,88.5,80.0,79.5,2.0,1779.0,11.5,45.0
4,145.0,80,81.0,2.0,3259.5,20,30.0
4.0,100.5,86.0,79.5,2.0,1957.0,12.0,40
4.0,61.5,71,78.5,2.0,1365.0,10.5,35.0
4,91,59.5,78.0,2.0,2130,14.0,40
4.0,106.0,70.0,77.5,2.0,2420.0,21.5,35.0
4.0,146,68.0,80.0,2.0,3147.5,21.0,30
4.0,120.0,116.0,78.0,2.0,2795,15.0,15.0
4.0,141,71,79.5,2,2857.5,23.5,40.0
4.5,140.0,67.5,79.0,2.0,2950,19.5,40.0
5.0,122.0,78.5,79.5,2.0,2840.0,18.0,25.0
5.0,183,77,79.0,2.0,3665.0,21.0,30.0
5.5,124.0,43.0,82.0,2.0,2930.0,19,40.0
6,182.0,133.5,77.0,2,3595.0,15.5,20
6.0,168.0,143.0,77.0,2,3140,11.0,10.0
4.0,75.5,65.5,74,2,1867.0,15.5,30
4,88.5,75.0,74.0,2.0,2128.0,16.5,30.0
4.0,89.5,72.5,74,2.0,2148.5,14.0,20.0
4.0,91.5,76.0,73.5,2.0,2170.0,13.5,30.0
4.0,92.5,79.0,74.0,2.0,2165.0,16.5,35.0
4,90,76.5,75,2.0,2373.0,15.0,30.0
4.0,93.0,80.0,75,2.0,1925.5,13.0,35.0
4.0,128.5,87.5,74.0,2.0,2624.5,14.5,25.0
4.0,112.5,83.5,74.5,2.0,2694,15.0,25.0
