Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
4.0,151,77.5,79.5,1,3003,20,25.0
4.0,177.5,90,80,1.0,2930.5,14.0,30.0
4.0,153.5,97.5,80,1.0,2766.5,14,35.0
4.0,68.5,53.5,80.0,1.5,1580.0,19.0,45.0
4.0,111.5,70,79.5,1,2200,9.0,35.0
4.0,105,70,79.0,1.0,2082.5,13.0,35.0
4.0,102.5,58.0,79,1.0,2537.5,18.5,30.0
4.0,136.0,79.0,80.5,1.5,2880.0,22.0,25.0
4.0,124.5,81.5,79.0,1.0,2670,15.5,30
4.0,128.0,80.0,78.5,1,2129.5,10.0,35.0
4.0,112.5,65.0,79.0,1.0,2283.0,16,30.0
4.0,98,74.0,77.0,1.0,1615.0,14,40
4.0,105.0,79.0,79.0,1.0,2225.5,11.0,35.0
4.0,140,83.5,79.5,1.0,2667.5,13.5,30.0
4.0,147.0,73.5,80.0,1.5,2805.0,22.0,20
4.0,123.0,86.0,78,1.0,2484.5,20.5,20.0
4.0,65.0,63,75.5,1.0,1790.5,21.5,30.0
4.0,98,83,77,1.0,2075,15.0,35.0
4.0,111.0,70.5,77.0,1,2109.5,14,30
4.0,104.5,87.0,77.5,1.0,2015.0,14.5,30.0
4.0,58.5,42.5,76,1.0,2035,20.5,40.0
4.0,102.0,71.5,74.0,0.5,2164,22,15.0
4,92.0,79.0,76,0.5,2207.5,16.0,25.0
4.0,97,53.5,81.0,2,2210.0,24.5,35.0
4.0,105,69.5,82,2.0,1307.5,15,40.0
4.0,110.0,37.0,82.0,2,2392.5,15,30.0
4,131.0,74,81.0,2.0,2190,19.0,30
4,184.0,74.5,85.0,1.5,3930.0,23.0,30
4.0,85,5.0,80,2,2125.0,17.5,35.0
4.0,96.0,29.5,80,1.5,1876.0,14.0,35.0
4.0,90,45.5,80,2.5,2151.5,24.5,40
4.0,90,51.5,80,2,2350.5,19.0,40.0
4,90.0,75.5,79.0,2.0,2188,15,35.0
3.0,82.0,85.5,75.0,2.5,1678.0,11.5,40
4.0,159.0,87.0,80,1.5,3318.5,16.5,35.0
4.0,151.0,43.0,80.5,2.0,3367.5,18.0,25.0
4.0,94.0,47.0,79,2.0,1925,11.0,25.0
4.0,87.0,56.0,83.5,1.5,1987.5,14,40.0
4.0,150.0,60.5,83.5,1.5,3426.0,25.5,30.0
5.0,120.5,56.5,80.5,2,3052.5,23.5,40.0
6.0,152.5,76,76.5,2.5,3202.0,19.0,25.0
5.0,213.5,110.5,79,2,4237.5,22.0,25.0
4.0,49.0,69.0,65.5,3.5,1223.0,16.0,30
4,68.5,49.0,75.5,2.5,1715.5,22.5,45.0
4.5,132.0,79.0,75.0,2.5,2781.0,17.0,30.0
4.0,105.0,93.5,69.5,3,2200.5,14,25.0
4.0,96.0,88,69.5,3.0,2042.0,13.5,35.0
4.0,148.0,98.0,74.0,2.5,3080.5,17.5,20.0
6,128.5,122,72.5,3.0,2394.5,15.0,25.0
4.0,109.5,46,70.5,2.0,2174.5,18.5,25.0
4.0,92.0,62.0,68.5,2.0,2375,19.5,35.0
4.0,97.0,84.0,72.0,2.0,2148.0,14,15.0
4.0,107.5,77.0,69.0,2.0,2403.5,17.0,35.0
4.0,127.5,113,70,2.0,2443.0,12,35.0
4.0,91.0,103.5,71.0,2.0,2273.5,15.0,30.0
4,81.0,66.0,73.0,2.0,1931.5,13.0,25.0
4.0,96.5,47.5,71.0,2.0,1857.0,21.5,30.0
4,131.5,100.0,71,2.0,2459.0,14.5,30
4.0,98.0,75.0,72,2.0,2599.5,20.0,30.0
4,85.0,20.5,72.0,2.0,2054.5,27.0,20.0
4.0,120,77.0,70.5,2.0,2864.0,19.0,20.0
4.0,111.5,97.5,72,2.0,2829.0,17.0,25.0
4.0,117.5,75.5,70.5,2.0,2435.0,18.0,20.0
4.0,68,31.0,73,2,1932.5,19,25.0
4.0,97,46,73.5,2.0,1950,21.0,35.0
4,85.5,68.0,74.0,2.0,2242.5,18.0,30
4.0,122.5,98.5,73,2.0,2743.0,13.5,20.0
4,107.5,67.5,71.5,2.0,2015.5,16.5,25.0
4,121,112,73.0,2.0,2839.0,15,20.0
4,121,118.5,73.5,2.0,3112.5,14.0,20
4.0,83.5,56.0,74.5,2.0,2057.5,19.5,25.0
4.0,79,42.5,75.5,2.0,1787.5,18.0,30.0
4.0,77.5,61.0,76.0,2.0,1920.5,14.5,20
4.0,108.5,91.5,74,2.0,2872.5,14,25.0
4.0,77.5,68.0,75.0,2.0,2219,16.5,40.0
4.0,116.0,86.0,72.5,2,2222.0,10.5,30
4.0,90.0,68.5,75,2.0,2125.5,14.5,30.0
4.0,88.0,66.5,75,2.0,1412.0,11.5,35.0
4.0,108.0,81.5,75,2.0,2242.0,14.5,25.0
5.0,157.0,88,75.0,2.0,3532.0,16.5,20
4.0,124.5,98.5,75.0,2.0,2889.0,13.0,20.0
3.0,90.0,115,74.0,2,2067.0,13.0,35.0
4.0,83.0,56.5,75.0,2,1937,13.5,35.0
4.0,102.5,71,76,2.0,1933.5,9.0,25.0
3.5,101,67.0,76,2.0,1782.0,14.5,35.0
5.0,128.5,104.5,76,2.0,2399.0,11.0,30
4.0,111.5,87.5,76,2.0,2042.5,16.0,30.0
4,120.5,88,77.5,2.0,3189.0,20.0,20.0
4.0,130,102,75.0,2,2818.5,16.0,25.0
4,66.0,55.5,77,2,1825,18.0,40.0
4.5,102.0,78,78.5,2.0,2019.5,15.0,25.0
3.0,75.5,59.5,76.0,2.0,2255.0,18.0,30.0
4.0,121,110,77.5,2.0,2600.0,15.0,25.0
4,80.0,59.0,78.5,2,1555.5,14,35.0
4.0,90,70.5,78.0,2.0,2352.0,20.5,40.0
4.0,132.0,117.5,78.5,2.0,3164.0,15.5,15.0
5.0,134.5,106.5,78,2.0,2830,14.0,20.0
5.0,141.5,133,77.0,2.0,3475.0,19.0,20.0
6.5,163,147.5,78,2,3642.5,11.5,10.0
4,106.0,73.0,82.0,1,2337.5,17.5,40.0
4.0,119.0,63,82.0,1,2125,12.0,40.0
4.0,112,87.5,81.5,1.0,2670.0,18.0,30.0
4.0,127.0,98.5,82,1.0,2605,18.5,35.0
4.0,93.5,80.0,82.5,1.0,2625.0,18.5,30
4,112.0,86.5,82,1.0,2380.0,16.5,30.0
4.0,111.0,79.0,82.0,1.0,2507.5,19,30.0
4,122.5,83.0,82.5,1,2600.0,18,30
4,143.0,87.0,82,1.0,2755.0,17.0,30.0
4,108.5,71.5,81.5,1.0,2010.0,12.5,30.0
4.0,102.5,71.0,82,1.0,1940.0,12.0,40
4.0,147.0,99.5,82.0,1,2865,15.5,20
4,155.0,96.5,82.0,1.0,2875.0,13.5,30
4.0,144.0,-11.5,82,1.0,3035,21.0,20.0
